,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
228,1111/659 Murray Street,"$530,000",Apr 2019,,,Apartment,2,2,1,,,Realestate 88 East Perth
229,36/147 Charles Street,"$220,000",Apr 2019,$260pw,Aug 2017,,,,,"6,268",,Jones Ballard Property Group - Como
230,12 Janet Street,"$980,000",Apr 2019,$820pw,Feb 2020,House,4,2,2,316,261,Bexleys Real Estate - Wembley
231,1403/659 Murray Street,"$400,000",Apr 2019,,,Apartment,1,1,1,68,,Realestate 88 East Perth - EAST PERTH
232,9/4 Delhi Street,"$385,000",Apr 2019,$480pw,Dec 2017,Apartment,2,2,1,"3,242",77,Ray White City Residential (Perth)
233,12/17 Emerald Terrace,"$425,000",Apr 2019,,,Apartment,2,1,1,113,85,Avenue One Property Group - Perth
234,1301/659 Murray Street,"$525,000",Apr 2019,,,Apartment,2,2,1,80,,Realestate 88 East Perth
235,12/2 Outram Street,"$385,000",Mar 2019,$380pw,Jul 2018,Apartment,2,2,1,792,,
236,11/45 Malcolm Street,"$180,000",Mar 2019,$250pw,Feb 2018,,,,,,,
237,76/1178 Hay Street,"$440,000",Mar 2019,$450pw,Sep 2016,Apartment,2,1,2,106,57,
238,11/17 Emerald Terrace,"$430,000",Mar 2019,,,Apartment,2,1,1,106,81,
239,1902/659 Murray Street,"$390,000",Mar 2019,$500pw,Mar 2021,Apartment,1,1,1,68,,Realestate 88 East Perth
240,24/2 Mayfair Street,"$410,000",Mar 2019,$440pw,Jan 2019,Apartment,2,2,1,"2,189",,Realestate 88 Inner City
241,2/191 Vincent Street,"$400,000",Mar 2019,,,Townhouse,3,2,1,206,115,LJ Hooker City Residential -
242,7/12 Bellevue Terrace,"$6,250,000",Mar 2019,"$2,500pw",Jul 2016,Apartment,4,4,4,503,296,
243,3/45 Malcolm Street,"$175,000",Feb 2019,$250pw,Sep 2019,,,,,,,KPR Perth
244,74/141 Fitzgerald Street,"$393,000",Feb 2019,$550pw,May 2016,Apartment,3,2,1,,,Mack Hall Real Estate - Claremont
245,2006/659 Murray Street,"$620,000",Feb 2019,,,Apartment,2,2,2,129,77,Realestate 88 East Perth
246,11/71 Mount Street,"$670,000",Feb 2019,$695pw,Dec 2016,Apartment,2,1,2,"2,304",95,William Porteous Properties International Pty Ltd 
247,22 Kingston Avenue,"$802,500",Feb 2019,,,,,,,,,
248,28/5 Delhi Street,"$490,000",Feb 2019,$550pw,Mar 2021,Apartment,3,2,1,124,97,Realestate 88 Inner City
249,806/659 Murray Street,"$540,000",Feb 2019,,,Apartment,2,2,1,,,Realestate 88 East Perth
250,1508/659 Murray Street,"$540,000",Feb 2019,$625pw,Jul 2020,Apartment,2,2,1,,,Realestate 88 East Perth
251,1110/659 Murray Street,"$502,000",Feb 2019,$530pw,Sep 2020,Apartment,2,2,1,,,Realestate 88 East Perth
252,4 Florence Street,"$1,265,000",Feb 2019,,,,,,,200,194,
253,402/18 Rheola Street,"$390,000",Jan 2019,$900pw,Mar 2015,,,,,930,101,
254,1/26 Carr Street,"$405,000",Jan 2019,$375pw,Mar 2018,House,1,1,1,94,,ACTON Dalkeith
255,18/1 Douro Place,"$535,000",Jan 2019,$550pw,Jul 2017,Apartment,2,2,2,"1,780",75,Mack Hall Real Estate - Claremont
256,47/227 Vincent Street,"$159,000",Jan 2019,,,,,,,,,KPR Perth
257,1404/659 Murray Street,"$392,500",Jan 2019,,,Apartment,1,1,1,,,Realestate 88 East Perth
